State,County,Store_Count
Nevada,Douglas,1
Nevada,Washoe,2
New Hampshire,Cheshire,1
New Hampshire,Hillsborough,3
New Hampshire,Merrimack,2
New Hampshire,Rockingham,2
New Hampshire,Strafford,1
New Jersey,Atlantic,1
New Jersey,Bergen,4
New Jersey,Burlington,4
New Jersey,Camden,3
New Jersey,Cumberland,1
New Jersey,Essex,1
New Jersey,Gloucester,3
New Jersey,Hudson,2
New Jersey,Mercer,2
New Jersey,Middlesex,5
New Jersey,Monmouth,4
New Jersey,Morris,5
New Jersey,Ocean,3
New Jersey,Passaic,1
New Jersey,Somerset,2
New Jersey,Union,4
New Jersey,Warren,1
New Mexico,Bernalillo,5
New Mexico,Chaves,1
New Mexico,Dona Ana,1
New Mexico,San Juan,1
New Mexico,Sandoval,1
New Mexico,Santa Fe,1
New York,Albany,2
New York,Bronx,3
New York,Broome,1
New York,Chemung,1
New York,Clinton,1
New York,Dutchess,1
New York,Erie,6
New York,Genesee,1
New York,Jefferson,1
New York,Kings,5
New York,Monroe,6
New York,Montgomery,1
New York,Nassau,7
New York,New York,2
New York,Niagara,1
New York,Oneida,1
New York,Onondaga,4
New York,Ontario,1
New York,Orange,3
New York,Queens,4
New York,Rensselaer,1
New York,Richmond,2
New York,Rockland,2
New York,Saratoga,2
New York,Schenectady,2
New York,Suffolk,11
New York,Tompkins,1
New York,Ulster,1
New York,Warren,1
New York,Westchester,3
North Carolina,Alamance,1
North Carolina,Buncombe,2
North Carolina,Cabarrus,1
North Carolina,Catawba,1
North Carolina,Craven,1
North Carolina,Cumberland,1
North Carolina,Durham,2
North Carolina,Forsyth,3
North Carolina,Gaston,1
North Carolina,Guilford,4
North Carolina,Iredell,1
North Carolina,Mecklenburg,10
North Carolina,Nash,1
North Carolina,New Hanover,1
North Carolina,Onslow,1
North Carolina,Orange,1
North Carolina,Pitt,1
North Carolina,Union,2
North Carolina,Wake,14
North Carolina,Wayne,1
North Carolina,Wilson,1
North Dakota,Burleigh,1
North Dakota,Cass,1
North Dakota,Grand Forks,1
North Dakota,Ward,1
Ohio,Butler,2
Ohio,Clermont,1
Ohio,Cuyahoga,8
Ohio,Delaware,2
Ohio,Erie,1
Ohio,Fairfield,2
Ohio,Franklin,9
Ohio,Geauga,1
Ohio,Greene,2
Ohio,Hamilton,7
Ohio,Lake,2
Ohio,Licking,1
Ohio,Lorain,3
Ohio,Lucas,3
Ohio,Mahoning,1
Ohio,Medina,2
Ohio,Montgomery,2
Ohio,Portage,1
Ohio,Richland,1
Ohio,Stark,2
Ohio,Summit,5
Ohio,Trumbull,1
Ohio,Warren,2
Ohio,Wood,1
Oklahoma,Canadian,1
Oklahoma,Cleveland,2
Oklahoma,Comanche,1
Oklahoma,Oklahoma,5
Oklahoma,Tulsa,6
Oregon,Clackamas,1
Oregon,Deschutes,1
Oregon,Jackson,1
Oregon,Lane,2
Oregon,Linn,1
Oregon,Marion,2
Oregon,Multnomah,5
Oregon,Washington,6
Pennsylvania,Allegheny,11
Pennsylvania,Beaver,1
Pennsylvania,Berks,3
Pennsylvania,Blair,1
Pennsylvania,Bucks,4
Pennsylvania,Butler,2
Pennsylvania,Centre,2
Pennsylvania,Chester,3
Pennsylvania,Cumberland,2
Pennsylvania,Dauphin,2
Pennsylvania,Delaware,3
Pennsylvania,Erie,1
Pennsylvania,Fayette,1
Pennsylvania,Franklin,1
Pennsylvania,Lackawanna,1
Pennsylvania,Lancaster,3
Pennsylvania,Lehigh,3
Pennsylvania,Luzerne,1
Pennsylvania,Lycoming,1
Pennsylvania,Monroe,1
Pennsylvania,Montgomery,7
Pennsylvania,Northampton,1
Pennsylvania,Pa - Pennsylvania,1
Pennsylvania,Philadelphia,9
Pennsylvania,Snyder,1
Pennsylvania,Washington,1
Pennsylvania,Westmoreland,2
Pennsylvania,York,3
Rhode Island,Kent,2
Rhode Island,Providence,2
South Carolina,Aiken,1
South Carolina,Anderson,1
South Carolina,Beaufort,1
South Carolina,Berkeley,1
South Carolina,Charleston,3
South Carolina,Florence,1
South Carolina,Greenville,3
South Carolina,Horry,2
South Carolina,Lexington,2
South Carolina,Richland,2
South Carolina,Spartanburg,1
South Carolina,York,1
South Dakota,Brown,1
South Dakota,Codington,1
South Dakota,Minnehaha,2
South Dakota,Pennington,1
Tennessee,Blount,1
Tennessee,Bradley,1
Tennessee,Davidson,5
Tennessee,Hamilton,2
Tennessee,Knox,5
Tennessee,Madison,1
Tennessee,Maury,1
Tennessee,Montgomery,1
Tennessee,Rutherford,2
Tennessee,Shelby,6
Tennessee,Sullivan,1
Tennessee,Sumner,1
Tennessee,Washington,1
Tennessee,Williamson,2
Tennessee,Wilson,1
Texas,Angelina,1
Texas,Bell,2
Texas,Bexar,13
Texas,Bowie,1
Texas,Brazoria,2
Texas,Brazos,2
Texas,Cameron,2
Texas,Collin,8
Texas,Comal,1
Texas,Dallas,16
Texas,Denton,5
Texas,Ector,1
Texas,El Paso,4
Texas,Ellis,1
Texas,Fort Bend,5
Texas,Galveston,3
Texas,Grayson,1
Texas,Gregg,1
Texas,Harris,24
Texas,Hays,2
Texas,Hidalgo,4
Texas,Jefferson,2
Texas,Johnson,1
Texas,Lubbock,2
Texas,Mclennan,1
Texas,Midland,1
Texas,Montgomery,3
Texas,Nueces,1
Texas,Parker,1
Texas,Potter,1
Texas,Rockwall,1
Texas,Smith,1
Texas,Tarrant,14
Texas,Taylor,1
Texas,Tom Green,1
Texas,Travis,11
Texas,Victoria,1
Texas,Walker,1
Texas,Webb,2
Texas,Wichita,1
Texas,Williamson,3
Utah,Davis,2
Utah,Salt Lake,7
Utah,Utah,2
Utah,Washington,1
Utah,Weber,1
Virginia,Albemarle,1
Virginia,Alexandria,1
Virginia,Arlington,1
Virginia,Chesapeake,3
Virginia,Chesterfield,4
Virginia,Colonial Heights City,1
Virginia,Culpeper,1
Virginia,Danville City,1
Virginia,Fairfax,10
Virginia,Frederick,1
Virginia,Fredericksburg City,1
Virginia,Hampton City,1
Virginia,Hanover,1
Virginia,Harrisonburg City,1
Virginia,Henrico,5
Virginia,James City,1
Virginia,Loudoun,3
Virginia,Lynchburg City,1
Virginia,Montgomery,1
Virginia,Newport News City,1
Virginia,Norfolk City,1
Virginia,Prince William,4
Virginia,Richmond City,1
Virginia,Roanoke City,1
Virginia,Spotsylvania,1
Virginia,Stafford,2
Virginia,Virginia Beach City,4
Virginia,Warren,1
Virginia,Washington,1
Virginia,Waynesboro City,1
Virginia,Winchester City,1
Virginia,York,1
Washington,Benton,2
Washington,Chelan,1
Washington,Clark,3
Washington,Cowlitz,1
Washington,King,11
Washington,Kitsap,1
Washington,Pierce,6
Washington,Skagit,1
Washington,Snohomish,4
Washington,Spokane,3
Washington,Thurston,2
Washington,Whatcom,1
Washington,Yakima,1
West Virginia,Berkeley,1
West Virginia,Cabell,1
West Virginia,Harrison,1
West Virginia,Kanawha,1
West Virginia,Monongalia,1
West Virginia,Ohio,1
Wisconsin,Brown,2
Wisconsin,Dane,5
Wisconsin,Door,1
Wisconsin,Eau Claire,1
Wisconsin,Fond Du Lac,1
Wisconsin,Kenosha,1
Wisconsin,La Crosse,1
Wisconsin,Marathon,1
Wisconsin,Milwaukee,7
Wisconsin,Outagamie,2
Wisconsin,Ozaukee,1
Wisconsin,Portage,1
Wisconsin,Racine,1
Wisconsin,Rock,1
Wisconsin,Sheboygan,1
Wisconsin,St. Croix,1
Wisconsin,Walworth,1
Wisconsin,Waukesha,6
Wisconsin,Winnebago,1
Wisconsin,Wood,1
Wyoming,Laramie,1
Wyoming,Natrona,1
